system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
0,0.0,1.0,0.0,0.0273,0.17419355,0.0192,0.0583,0.0468,0.0387,-0.20206186,0.0345,0.0339,0.0355,0.0319,0.0332,0.2485323,1.4145077,0.0,0.853125,0.6626712,0.2485323,0.0777027,-0.019202363,-0.096317284,0.82216495,1.6528498,0.8251599,0.58208954,0.853125,0.7007299,0.7036083,0.0,-31.307932,-19.230757,12.077177,16.12475934994541,82.60009037479,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.60009037479,16.12475934994541]}"
1,0.0,1.0,0.0,0.02605,0.16035634,0.01885,0.0576,0.0472,0.03615,-0.2288,0.03585,0.0325,0.03585,0.0313,0.0342,0.24825524,1.3746701,0.0,0.82961786,0.62651646,0.24825524,0.09154315,-0.023554605,-0.071905114,0.86344826,1.651715,0.7642706,0.55073994,0.82961786,0.7208413,0.7186207,0.0,-31.238264,-18.97883,12.259433,16.12475934994541,82.68992190320195,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.68992190320195,16.12475934994541]}"
2,0.0,1.0,0.0,0.0231,0.16962026,0.0164,0.0489,0.0414,0.0378,-0.12802768,0.0348,0.0319,0.034,0.0301,0.0325,0.29462364,1.4,0.0,0.7649007,0.7714286,0.29462364,0.13157895,-0.034175333,-0.11340206,0.79419523,1.8242425,0.9108434,0.5566265,0.7649007,0.70689654,0.6094987,0.0,-31.712217,-18.961697,12.750521,16.12475934994541,82.7797534316139,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.7797534316139,16.12475934994541]}"
3,0.0,1.0,0.0,0.0162,0.13286713,0.0124,0.0444,0.0324,0.025,-0.2795389,0.0206,0.0201,0.0221,0.0217,0.0232,0.27272728,1.296,0.0,0.74311924,0.56179774,0.27272728,0.14511873,0.05936073,-0.07066381,0.8645418,1.736,0.7692308,0.49846154,0.74311924,0.76073617,0.64541835,0.0,-31.783298,-18.648317,13.134981,16.12475934994541,82.86958496002586,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.86958496002586,16.12475934994541]}"
4,0.0,1.0,0.0,0.0237,0.22797927,0.0149,0.059675,0.047157142,0.036533333,-0.24053703,0.03684,0.033,0.033566665,0.0274,0.027971428,0.29550827,1.58,0.0,0.8618182,0.61118084,0.29550827,0.072407044,-0.13683654,-0.14285715,0.7479527,1.8266667,0.7730754,0.5015115,0.8618182,0.6260504,0.6469518,0.0,-31.307728,-19.359104,11.948625,16.214590878357363,82.60009037479,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.60009037479,16.214590878357363]}"
5,0.0,1.0,0.0,0.024733333,0.14816247,0.01835,0.060214285,0.04745,0.0407,-0.19337486,0.042666666,0.03568,0.0367,0.0297875,0.0333,0.23760062,1.3405601,0.0,0.8275477,0.67479867,0.23760062,0.09270157,-0.123299696,-0.15481469,0.7300858,1.6144986,0.8559411,0.52015424,0.8275477,0.7389262,0.60620916,0.0,-31.160553,-19.343338,11.817215,16.214590878357363,82.68992190320195,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.68992190320195,16.214590878357363]}"
6,0.0,1.0,0.0,0.0249,0.14570552,0.018566666,0.05155,0.0413,0.034133334,-0.20326784,0.0368,0.0316,0.031133333,0.0262,0.03,0.17051378,1.3339286,0.0,0.94676805,0.66085833,0.17051378,0.025440313,-0.1017964,-0.1314917,0.7653359,1.4035715,0.82447666,0.60144925,0.94676805,0.74266666,0.72736126,0.0,-31.75028,-18.85501,12.895272,16.214590878357363,82.7797534316139,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.7797534316139,16.214590878357363]}"
7,0.0,1.0,0.0,0.01445,0.113680154,0.0115,0.0433,0.03255,0.02625,-0.24514738,0.02055,0.01815,0.02065,0.01925,0.0215,0.25203252,1.2456896,0.0,0.74677,0.6048387,0.25203252,0.14243324,0.022592152,-0.15384616,0.7305503,1.6594827,0.8039816,0.44257274,0.74677,0.79037803,0.5483871,0.0,-31.663002,-18.424856,13.238145,16.214590878357363,82.86958496002586,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.86958496002586,16.214590878357363]}"
8,0.0,1.0,0.0,0.0188,0.093023255,0.0156,0.0568,0.0473,0.0378,-0.20084566,0.0386,0.0336,0.0329,0.028,0.0283,0.28440368,1.1974522,0.0,0.66903913,0.6643234,0.28440368,0.1965812,-0.15396114,-0.14893617,0.7387863,1.7834395,0.79746836,0.39662448,0.66903913,0.82539684,0.49604222,0.0,-31.727509,-19.389698,12.3378105,16.304422406769316,82.60009037479,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.60009037479,16.304422406769316]}"
9,0.0,1.0,0.0,0.02,0.1299435,0.0154,0.0464,0.039,0.0315,-0.19127086,0.0339,0.0293,0.0284,0.0247,0.0271,0.2319202,1.2903225,0.0,0.8064516,0.67741936,0.2319202,0.10514542,-0.11147541,-0.12099644,0.7816456,1.5935484,0.8056266,0.51150894,0.8064516,0.76616913,0.6329114,0.0,-30.717365,-19.044758,11.672608,16.304422406769316,82.68992190320195,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.68992190320195,16.304422406769316]}"
