system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
0,0.0,1.0,0.0,0.0286,0.04379562,0.0262,0.0474,0.034,0.0287,-0.2457293,0.0361,0.0307,0.0284,0.0271,0.0275,0.016885553,1.0874525,0.0,1.0514706,0.60421056,0.016885553,-0.026929982,-0.13522013,-0.028673835,0.9409722,1.0304183,0.8416422,0.83870965,1.0514706,0.912892,0.9930556,0.0,-33.710243,-20.143227,13.567018,6.06362816780677,72.0898015505916,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.0898015505916,6.06362816780677]}"
1,0.0,1.0,0.0,0.0302,0.044982698,0.0276,0.0431,0.0345,0.0307,-0.16802168,0.0349,0.0316,0.0297,0.028,0.0294,0.007194245,1.0902528,0.0,1.0747331,0.7106481,0.007194245,-0.03780069,-0.08553655,-0.04599659,0.90909094,1.0108303,0.88728327,0.87283236,1.0747331,0.9108911,0.9805195,0.0,-33.269375,-19.98404,13.285337,6.06362816780677,72.17963307900355,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.17963307900355,6.06362816780677]}"
2,0.0,1.0,0.0,0.036,0.038961038,0.0333,0.0516,0.0396,0.0347,-0.19582851,0.0416,0.0385,0.0377,0.0316,0.0352,-0.026194144,1.0778443,0.0,1.1356467,0.6711799,-0.026194144,-0.06508876,-0.083333336,-0.046757165,0.90804595,0.9461078,0.87405545,0.906801,1.1356467,0.92243767,1.0344827,0.0,-32.39758,-19.43227,12.96531,6.06362816780677,72.2694646074155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.2694646074155,6.06362816780677]}"
3,0.0,1.0,0.0,0.0435,0.02052786,0.04175,0.05435,0.0449,0.04105,-0.139413,0.04695,0.0425,0.04295,0.0368,0.0417,-0.06301719,1.0394266,0.0,1.1788617,0.7539027,-0.06301719,-0.08343711,-0.05922166,-0.054592166,0.8942892,0.87933093,0.9122222,0.96666664,1.1788617,0.9575688,1.0571082,0.0,-30.620045,-19.654957,10.965088,6.06362816780677,72.35929613582745,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.35929613582745,6.06362816780677]}"
4,0.0,1.0,0.0,0.05795,0.02385159,0.05525,0.0684,0.0623,0.05995,-0.0658356,0.06545,0.061,0.0609,0.0554,0.0597,0.0013556258,1.0469738,0.0,1.0441442,0.8751825,0.0013556258,-0.022496691,-0.045944866,-0.039445166,0.9225645,1.0009034,0.96073717,0.9286859,1.0441442,0.9517657,0.9650291,0.0,-31.403774,-19.397163,12.006612,6.06362816780677,72.44912766423941,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44912766423941,6.06362816780677]}"
5,0.0,1.0,0.0,0.0461,0.048919227,0.0418,0.0544,0.0477,0.04495,-0.09511827,0.05035,0.04605,0.04565,0.043,0.04455,0.014150944,1.1002387,0.0,1.0696056,0.8247706,0.014150944,-0.034792367,-0.061116964,-0.02217169,0.954495,1.026253,0.9403766,0.96443516,1.0696056,0.9047619,1.0233074,0.0,-31.575754,-19.361635,12.21412,6.06362816780677,72.53895919265136,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53895919265136,6.06362816780677]}"
6,0.0,1.0,0.0,0.064,0.05785124,0.057,0.07305,0.0629,0.06035,-0.0952024,0.06515,0.06105,0.06185,0.0585,0.06165,0.012987013,1.1208407,0.0,1.0921502,0.8250171,0.012987013,-0.04489796,-0.027602524,-0.01556584,0.9677419,1.0245184,0.9579365,1.0158731,1.0921502,0.88923556,1.0587262,0.0,-31.840214,-18.883957,12.956257,6.06362816780677,72.62879072106331,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.62879072106331,6.06362816780677]}"
7,0.0,1.0,0.0,0.0676,0.027355623,0.064,0.068,0.0591,0.059,-0.070866145,0.0669,0.0632,0.0633,0.057,0.0635,-0.05785124,1.0546021,0.0,1.183888,0.866373,-0.05785124,-0.085072234,-0.02607362,-0.01724138,0.964467,0.88923556,0.9966216,1.1418918,1.183888,0.94534713,1.143824,0.0,-31.799305,-18.369452,13.429854,6.06362816780677,72.71862224947526,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71862224947526,6.06362816780677]}"
8,0.0,1.0,0.0,0.0365,0.030345801,0.03435,0.0507,0.03975,0.0352,-0.18044238,0.04005,0.03705,0.0374,0.031,0.03565,-0.051262435,1.0595065,0.0,1.1736335,0.6929134,-0.051262435,-0.08148148,-0.058124173,-0.06344411,0.87818694,0.89985484,0.8833124,0.91593474,1.1736335,0.9385246,1.0339943,0.0,-31.546211,-17.84941,13.696802,6.06362816780677,72.80845377788721,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.80845377788721,6.06362816780677]}"
9,0.0,1.0,0.0,0.0117,0.06363636,0.0103,0.0368,0.0251,0.0174,-0.35793358,0.021,0.0179,0.017,0.0122,0.0133,0.08444444,1.125,0.0,0.9512195,0.4715447,0.08444444,0.020920502,-0.2244898,-0.17567568,0.69714284,1.1730769,0.6904762,0.4642857,0.9512195,0.87288135,0.6685714,0.0,-31.452713,-22.112734,9.339978,6.06362816780677,72.98811683471112,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98811683471112,6.06362816780677]}"
