system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
0,0.0,1.0,0.0,0.016525,0.051710423,0.0149,0.0523125,0.04295,0.0247,-0.3585457,0.02515,0.02105,0.02145,0.019725,0.020525,0.13935018,1.1016667,0.0,0.8335435,0.47126162,0.13935018,0.088275865,-0.1012589,-0.111986496,0.7953629,1.315,0.57375145,0.38385597,0.8335435,0.8962406,0.66633064,0.0,-33.180584,-18.866856,14.313728,21.604482583074493,69.03552958458522,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.03552958458522,21.604482583074493]}"
1,0.0,1.0,0.0,0.01065,0.05707196,0.0095,0.04865,0.0376,0.0222,-0.37332392,0.0206,0.0164,0.01605,0.01485,0.01405,0.21971253,1.109375,0.0,0.71237457,0.4553846,0.21971253,0.16470589,-0.1890332,-0.19838056,0.6659193,1.546875,0.58885944,0.28249338,0.71237457,0.88372093,0.47757846,0.0,-32.80664,-18.634123,14.172517,21.604482583074493,69.12536111299718,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.12536111299718,21.604482583074493]}"
2,0.0,1.0,0.0,0.011,0.07317073,0.0095,0.04875,0.041,0.0235,-0.34948096,0.01975,0.01415,0.0143,0.0138,0.0123,0.18454936,1.1458334,0.0,0.79136693,0.48106447,0.18454936,0.11290322,-0.2324493,-0.2600536,0.58474576,1.4375,0.57177615,0.2676399,0.79136693,0.8558559,0.4661017,0.0,-31.216463,-18.539816,12.676646,21.604482583074493,69.30502416982108,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.30502416982108,21.604482583074493]}"
3,200.0,-0.9396926,-0.34202015,0.01425,0.06542056,0.0125,0.06205,0.0617,0.0314,-0.32798287,0.02885,0.02055,0.0201,0.01885,0.01855,0.20255183,1.1309524,0.0,0.7519789,0.5052293,0.20255183,0.1389728,-0.21729958,-0.24975124,0.5984127,1.4960318,0.5080906,0.23058252,0.7519789,0.87108016,0.45238096,0.0,-30.492712,-19.222761,11.26995,21.604482583074493,69.48468722664498,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.48468722664498,21.604482583074493]}"
4,191.0,-0.98162717,-0.190809,0.24325,0.12290825,0.19,0.07145,0.101,0.1155,0.23562449,0.15005,0.23375,0.26075,0.2756,0.2813,0.1838488,1.2795897,7.0,0.8822996,1.6142558,0.1838488,0.062349427,0.30427727,0.40935823,2.384083,1.4497633,1.1424333,2.4060335,0.8822996,0.78076845,2.1042387,0.0,-18.211786,-11.170951,7.040836,21.604482583074493,69.66435028346889,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.66435028346889,21.604482583074493]}"
5,194.0,-0.9702957,-0.2419219,0.32765,0.12112917,0.25685,0.10065,0.1357,0.1709,0.25870004,0.2087,0.23795,0.2596,0.2679,0.28465,0.021057647,1.2751508,11.0,1.2225746,1.6962779,0.021057647,-0.100327425,0.1539475,0.22105743,1.5666667,1.0426153,1.2584684,2.4127393,1.2225746,0.78367656,1.9160819,0.0,-18.14942,-12.060702,6.088719,21.604482583074493,69.75418181188084,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.75418181188084,21.604482583074493]}"
6,193.0,-0.97437006,-0.22495106,0.2725,0.08425346,0.23015,0.08645,0.1123,0.15185,0.27444398,0.1808,0.19725,0.2127,0.22355,0.23385,-0.014547057,1.1834962,19.0,1.2184217,1.7544771,-0.014547057,-0.098679565,0.12793922,0.19099627,1.4712076,0.9709012,1.3509786,2.4243772,1.2184217,0.8442773,1.7933531,0.0,-19.90378,-12.173526,7.7302556,21.604482583074493,69.84401334029279,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.84401334029279,21.604482583074493]}"
7,187.0,-0.99254614,-0.12186934,0.2842,0.105084084,0.23015,0.0777,0.1081,0.1432,0.29651427,0.17385,0.2176,0.2408,0.2623,0.2683,0.06528582,1.2343105,20.0,1.0830792,1.840617,0.06528582,-0.040073194,0.21361528,0.29371145,1.8304257,1.1391965,1.323475,2.6266174,1.0830792,0.80953217,1.9832519,0.0,-18.493118,-10.846215,7.646902,21.604482583074493,69.93384486870475,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.93384486870475,21.604482583074493]}"
8,188.0,-0.99026805,-0.1391731,0.2163,0.095605925,0.17855,0.06575,0.09265,0.11925,0.2891892,0.1441,0.21615,0.24385,0.2585,0.2709,0.18293102,1.2107472,23.0,0.8364269,1.810934,0.18293102,0.088879526,0.30554217,0.36863005,2.1658986,1.4469633,1.2857143,2.3320754,0.8364269,0.82509243,1.8123167,0.0,-18.905264,-11.663363,7.2418995,21.604482583074493,70.0236763971167,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.0236763971167,21.604482583074493]}"
9,232.0,-0.6156615,-0.7880108,0.2165,0.11655492,0.1713,0.0617,0.07975,0.10475,0.25863624,0.1275,0.19155,0.21115,0.23175,0.23855,0.1499814,1.2631272,27.0,0.9337934,1.6949838,0.1499814,0.034021195,0.30337384,0.37741455,2.2103004,1.3521004,1.3118347,2.7113338,0.9337934,0.79085875,2.0648546,0.0,-18.854671,-11.651007,7.2036653,21.604482583074493,70.11350792552865,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.11350792552865,21.604482583074493]}"
