system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
0,0.0,1.0,0.0,0.0205,0.04859335,0.0186,0.0407,0.0296,0.0221,-0.29617834,0.0259,0.0229,0.0232,0.0192,0.0195,0.015873017,1.0962567,0.0,1.0621761,0.5416667,0.015873017,-0.032745592,-0.14096916,-0.070217915,0.8648649,1.0267379,0.7441077,0.6902357,1.0621761,0.9029126,0.9234234,0.0,-33.63112,-22.922361,10.708757,6.06362816780677,93.55953684104816,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.55953684104816,6.06362816780677]}"
1,0.0,1.0,0.0,0.0181,0.043227665,0.0166,0.0397,0.0276,0.021,-0.30807248,0.0245,0.0212,0.0215,0.017,0.0189,0.011904762,1.0838324,0.0,1.0584795,0.5276382,0.011904762,-0.03133903,-0.12903225,-0.10526316,0.8056872,1.0179641,0.75812274,0.6534296,1.0584795,0.9120879,0.8578199,0.0,-35.0045,-22.94455,12.059953,6.06362816780677,93.6493683694601,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6493683694601,6.06362816780677]}"
2,0.0,1.0,0.0,0.0228,0.07294118,0.0197,0.04,0.0286,0.0235,-0.25984251,0.0288,0.0255,0.0254,0.0216,0.0221,0.046004843,1.1515151,0.0,1.0506912,0.5860349,0.046004843,-0.027027028,-0.13163064,-0.042128604,0.91525424,1.0909091,0.81881535,0.7944251,1.0506912,0.86026204,0.9661017,0.0,-36.23941,-22.401037,13.838375,6.06362816780677,93.82903142628402,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,6.06362816780677]}"
3,90.0,6.123234E-17,1.0,0.07995,0.06104844,0.07075,0.0915,0.0877,0.0836,-0.045117076,0.08775,0.08235,0.0822,0.07925,0.08045,0.05666667,1.1284404,0.0,1.0075614,0.91266376,0.05666667,-0.004396985,-0.043400712,-0.026711699,0.9468339,1.1185603,0.952164,0.91059226,1.0075614,0.8838226,0.95519716,0.0,-31.4944,-16.657745,14.836655,6.06362816780677,95.1765043524633,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.1765043524633,6.06362816780677]}"
4,0.0,1.0,0.0,0.0954,0.038932752,0.08825,0.09355,0.09005,0.0898,-0.020452686,0.09625,0.09135,0.09205,0.08905,0.0918,0.0045121266,1.0797963,0.0,1.0701065,0.9588895,0.0045121266,-0.034426674,-0.02366392,-0.0041934582,0.99054503,1.007923,0.9961176,1.0582362,1.0701065,0.92408377,1.061179,0.0,-31.556007,-16.420086,15.1359215,6.06362816780677,95.26633588087525,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.26633588087525,6.06362816780677]}"
5,0.0,1.0,0.0,0.03315,0.035128806,0.0309,0.05475,0.0414,0.0356,-0.21195352,0.0393,0.03535,0.037,0.02955,0.03365,-0.022332506,1.0693549,0.0,1.1180439,0.64904284,-0.022332506,-0.057416268,-0.077450305,-0.09286263,0.8277311,0.9532258,0.8578313,0.79879516,1.1180439,0.9293233,0.9285714,0.0,-31.436018,-16.916447,14.519572,6.06362816780677,95.44599893769916,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.44599893769916,6.06362816780677]}"
6,0.0,1.0,0.0,0.04355,0.024103468,0.0415,0.05415,0.04725,0.0431,-0.11362468,0.04695,0.0444,0.04575,0.03715,0.04385,-0.055308327,1.046875,0.0,1.1691275,0.7944701,-0.055308327,-0.07930607,-0.03414097,-0.074143305,0.8599537,0.89302886,0.91024286,0.9197466,1.1691275,0.95074457,1.0081018,0.0,-31.35466,-19.008543,12.346117,6.06362816780677,95.53583046611111,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.53583046611111,6.06362816780677]}"
7,0.0,1.0,0.0,0.01195,0.09633028,0.00985,0.03975,0.0293,0.0203,-0.32389677,0.0212,0.01775,0.01705,0.01485,0.01505,0.20242915,1.201005,0.0,0.7993311,0.50941026,0.20242915,0.108208954,-0.16965517,-0.15504979,0.72794116,1.4924623,0.6904762,0.40646258,0.7993311,0.8174274,0.5857843,0.0,-31.16418,-18.534037,12.630144,6.06362816780677,95.62566199452306,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.62566199452306,6.06362816780677]}"
8,0.0,1.0,0.0,0.01365,0.038022812,0.01265,0.0394,0.02715,0.02075,-0.31005818,0.0219,0.0186,0.019,0.0163,0.01575,0.12607944,1.0705882,0.0,0.83231705,0.5253165,0.12607944,0.0884808,-0.16334662,-0.12010796,0.7817746,1.2784314,0.7614679,0.50091743,0.83231705,0.92,0.65467626,0.0,-33.38774,-19.967827,13.419916,6.06362816780677,95.80532505134697,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.80532505134697,6.06362816780677]}"
9,0.0,1.0,0.0,0.0176,0.024745269,0.01675,0.04095,0.02965,0.02245,-0.2917981,0.02365,0.02055,0.0203,0.0177,0.0176,0.027576197,1.0445104,0.0,0.98876405,0.546894,0.027576197,0.0028328612,-0.14666666,-0.11830635,0.7849224,1.0504451,0.75462186,0.59159666,0.98876405,0.9463277,0.7804878,0.0,-33.67788,-19.06782,14.610058,6.06362816780677,95.89515657975892,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.89515657975892,6.06362816780677]}"
