system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
0,349.0,0.98162717,-0.190809,0.2884,0.089535326,0.241,0.0692,0.0948,0.1246,0.2858617,0.1578,0.1812,0.1956,0.1977,0.212,-0.09870071,1.1961842,253.0,1.4580384,1.7979798,-0.09870071,-0.18658713,0.1465657,0.22680733,1.585405,0.8199917,1.312961,3.0389884,1.4580384,0.8353553,2.3127506,0.0,-21.354616,-13.643008,7.711608,21.604482583074493,82.60009037479,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.60009037479,21.604482583074493]}"
1,8.0,0.99026805,0.1391731,0.3041,0.11719324,0.2403,0.0777,0.1038,0.1321,0.25929457,0.1633,0.1892,0.2085,0.2145,0.2347,-0.056728233,1.2649751,255.0,1.417055,1.6979434,-0.056728233,-0.17277285,0.17939699,0.23773803,1.6225415,0.8922629,1.2714149,2.9268527,1.417055,0.78994083,2.3003025,0.0,-16.331686,-10.057036,6.2746496,21.604482583074493,82.7797534316139,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.7797534316139,21.604482583074493]}"
2,25.0,0.9063078,0.42261827,0.2869,0.11830053,0.2262,0.0769,0.0997,0.125,0.23823676,0.1546,0.1855,0.2032,0.2101,0.227,-0.036901213,1.2677861,233.0,1.3648906,1.6233766,-0.036901213,-0.15452716,0.18972747,0.25395405,1.6794565,0.9284136,1.2525051,2.8747494,1.3648906,0.7881533,2.2933652,0.0,-18.245182,-11.169302,7.0758796,21.604482583074493,82.86958496002586,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.86958496002586,21.604482583074493]}"
3,13.0,0.97437006,0.22495106,0.27,0.1614152,0.19495,0.06582857,0.08861111,0.1003,0.20749849,0.13629286,0.19371,0.21548,0.221575,0.2375,0.063921735,1.3842604,235.0,1.2179993,1.5213435,0.063921735,-0.09850989,0.2707573,0.3767767,2.2069223,1.1359907,1.1306362,3.0435872,1.2179993,0.7217697,2.689243,0.0,-17.246683,-10.87525,6.371434,21.604482583074493,82.95941648843781,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.95941648843781,21.604482583074493]}"
4,13.0,0.97437006,0.22495106,0.2763,0.14528498,0.2062,0.0681,0.0944,0.1088,0.23007348,0.14965,0.19565,0.2143,0.2232,0.23685,0.039590124,1.3393117,225.0,1.2373489,1.595308,0.039590124,-0.10630631,0.22561449,0.34457833,2.0495868,1.0819196,1.1513227,2.9238095,1.2373489,0.74602026,2.5371902,0.0,-17.865217,-10.737321,7.1278973,21.604482583074493,83.04924801684976,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.04924801684976,21.604482583074493]}"
5,2.0,0.99939084,0.034899496,0.22355,0.17890574,0.1557,0.0472,0.0666,0.0703,0.19659574,0.1107,0.1646,0.1827,0.1868,0.2035,0.09080292,1.4348524,267.0,1.1960942,1.4862579,0.09080292,-0.08955769,0.29535326,0.45313108,2.653409,1.1989731,1.053973,3.3515742,1.1960942,0.69617707,3.1754262,0.0,-15.062229,-9.098673,5.963556,21.604482583074493,83.22891107367366,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22891107367366,21.604482583074493]}"
6,74.0,0.27563736,0.9612617,0.31055,0.09802882,0.2551,0.0764,0.1086,0.1338,0.27307326,0.1755,0.2183,0.2364,0.2367,0.2528,-0.037413582,1.2168887,213.0,1.3114443,1.7490196,-0.037413582,-0.13494746,0.18048097,0.2777328,1.7677372,0.9275078,1.2309108,2.8569458,1.3114443,0.8211814,2.3192682,0.0,-18.245543,-10.758717,7.486826,21.604482583074493,83.31874260208562,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31874260208562,21.604482583074493]}"
7,299.0,0.4848096,-0.8746197,0.24875,0.1911888,0.1689,0.05125,0.07815,0.0864,0.2553578,0.13425,0.18815,0.20935,0.21655,0.2319,0.12362174,1.4718935,214.0,1.1481652,1.6825706,0.12362174,-0.06920266,0.26669398,0.42960885,2.5034683,1.281361,1.1041534,3.1789138,1.1481652,0.67872214,2.8757226,0.0,-14.753843,-8.808094,5.9457483,21.604482583074493,83.49840565890952,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49840565890952,21.604482583074493]}"
8,348.0,0.9781476,-0.20791169,0.21655,0.20775238,0.14205,0.0498,0.07775,0.07155,0.17923363,0.12585,0.19285,0.2156,0.2207,0.23435,0.216816,1.5233908,298.0,0.9807518,1.4338677,0.216816,0.009491138,0.30122155,0.5103507,3.0802512,1.5525852,0.91907513,2.7816312,0.9807518,0.6556658,3.0223308,1.0,-14.899399,-8.976276,5.9231224,21.604482583074493,83.58823718732147,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58823718732147,21.604482583074493]}"
9,44.0,0.7193398,0.6946584,0.20545,0.21568048,0.13255,0.04525,0.06345,0.0695,0.21132898,0.1086,0.14965,0.167,0.1715,0.18695,0.12810393,1.5488126,251.0,1.1972611,1.5325248,0.12810393,-0.090064995,0.26509896,0.42323652,2.4640806,1.292876,1.0936271,3.2328875,1.1972611,0.64485526,2.9518678,1.0,-13.529455,-7.777411,5.7520437,21.604482583074493,83.67806871573343,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.67806871573343,21.604482583074493]}"
10,144.0,-0.809017,0.58778524,0.02295,0.12224939,0.01795,0.0594,0.0669,0.0535,-0.052258637,0.0525,0.0444,0.0419,0.0398,0.03685,0.37835497,1.2714682,196.0,0.575188,0.89915967,0.37835497,0.2685259,-0.1751539,-0.14683816,0.7425373,2.204986,0.79850745,0.3425373,0.575188,0.77874184,0.42817163,0.0,-28.461329,-20.864449,7.5968785,21.604482583074493,83.76790024414538,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.76790024414538,21.604482583074493]}"
11,189.0,-0.98768836,-0.15643446,0.0185,0.096476786,0.015244445,0.0596,0.060716666,0.0449,-0.14066985,0.04665,0.03995,0.0396,0.0331,0.03190417,0.3693404,1.2056481,191.0,0.5572289,0.7520938,0.3693404,0.28294572,-0.18771549,-0.15128206,0.7355555,2.1571326,0.73828447,0.30419293,0.5572289,0.8195938,0.41111112,0.0,-29.74016,-20.510626,9.229534,21.604482583074493,83.85773177255733,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.85773177255733,21.604482583074493]}"
12,227.0,-0.6819984,-0.7313537,0.19965,0.16295326,0.1437,0.05864,0.0746,0.08088333,0.15942375,0.11461667,0.15255,0.167925,0.16935,0.183,0.08193579,1.3883866,199.0,1.1782236,1.376972,0.08193579,-0.082113825,0.22976984,0.3535367,2.091171,1.1776773,1.0827756,2.6726909,1.1782236,0.7193993,2.465322,0.0,-18.255447,-12.134777,6.12067,21.604482583074493,83.94756330096928,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.94756330096928,21.604482583074493]}"
13,241.0,-0.4848096,-0.8746197,0.1684,0.28992724,0.0927,0.045980953,0.0617,0.0517,0.058548238,0.10176667,0.184675,0.2133,0.21783334,0.2348,0.40296265,1.8146552,246.0,0.77271336,1.1219386,0.40296265,0.12798826,0.3952659,0.61637396,4.2052765,2.347342,0.8365696,2.724919,0.77271336,0.55014837,3.2509654,0.0,-11.49414,-5.1946435,6.299496,21.604482583074493,84.12722635779319,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.12722635779319,21.604482583074493]}"
14,351.0,0.98768836,-0.15643446,0.1794,0.29686746,0.09726667,0.046533335,0.0673,0.057433333,0.10484129,0.11375,0.1908,0.2167,0.2236,0.2416,0.39372534,1.8425196,289.0,0.8019669,1.231594,0.39372534,0.10967742,0.35978612,0.5912703,3.8864427,2.2964737,0.8521266,2.661721,0.8019669,0.5418756,3.1181924,0.0,-14.586234,-7.996322,6.589912,21.604482583074493,84.21705788620514,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.21705788620514,21.604482583074493]}"
