system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
0,281.0,0.190809,-0.98162717,0.23385,0.11609593,0.1852,0.0553,0.08305,0.12015,0.36962098,0.14605,0.16895,0.1866,0.1909,0.203,0.015155544,1.2620076,569.0,1.2243456,2.1687725,0.015155544,-0.101118304,0.16315714,0.22745539,1.587526,1.0302212,1.444979,2.8123872,1.2243456,0.79162216,1.9446986,0.0,-19.030111,-10.630753,8.39936,21.604482583074493,75.32373657342187,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.32373657342187,21.604482583074493]}"
1,5.0,0.9961947,0.087155744,0.2038,0.16340803,0.14655,0.0394,0.0724,0.09525,0.41477907,0.1333,0.2155,0.2444,0.25665,0.26735,0.27306548,1.3897034,346.0,0.7937683,2.4113925,0.27306548,0.11477902,0.33458132,0.45865303,2.6916623,1.7500852,1.3137931,2.8110344,0.7937683,0.7187347,2.1373885,1.0,-18.29298,-11.184375,7.1086054,21.604482583074493,75.59323115865773,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.59323115865773,21.604482583074493]}"
2,336.0,0.9135454,-0.40673664,0.2725,0.13980968,0.20565,0.05555,0.08795,0.12595,0.38787878,0.1606,0.19025,0.2121,0.21895,0.2281,0.031323597,1.3244228,376.0,1.2440082,2.2632525,0.031323597,-0.10896327,0.17365578,0.26964337,1.7370092,1.0641556,1.4304372,3.0948324,1.2440082,0.75440204,2.1618404,0.0,-19.786303,-11.664931,8.12137,21.604482583074493,75.68306268706968,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.68306268706968,21.604482583074493]}"
3,342.0,0.95105654,-0.309017,0.28055,0.14091094,0.21125,0.0529,0.0778,0.11315,0.36284253,0.14335,0.1675,0.18735,0.1989,0.21165,-0.030110935,1.3274189,396.0,1.409799,2.1349056,-0.030110935,-0.1702993,0.19239436,0.2747957,1.7562914,0.94109297,1.4525032,3.601412,1.409799,0.7527169,2.4772627,1.0,-17.294283,-10.0983515,7.1959314,21.604482583074493,75.77289421548164,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,21.604482583074493]}"
4,20.0,0.9396926,0.34202015,0.2279,0.15188274,0.1678,0.051,0.0831,0.10845,0.36030105,0.1408,0.1929,0.21165,0.2192,0.2297,0.13281654,1.3573556,432.0,1.0392157,2.1223092,0.13281654,-0.019458733,0.23994602,0.3380131,2.019346,1.305539,1.3034856,2.7391827,1.0392157,0.7359649,2.0994933,1.0,-18.999918,-10.649205,8.350712,21.604482583074493,75.86272574389359,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,21.604482583074493]}"
5,10.0,0.9848077,0.17364818,0.2458,0.12597343,0.1908,0.0579,0.0846,0.1191,0.3457627,0.1529,0.18,0.1972,0.2045,0.2128,0.03465722,1.2875851,379.0,1.2013686,2.0534482,0.03465722,-0.09171663,0.16379546,0.26390606,1.7156041,1.0712415,1.4061394,2.902007,1.2013686,0.77592516,2.0620806,1.0,-19.281134,-11.253146,8.0279875,21.604482583074493,75.95255727230554,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,21.604482583074493]}"
6,344.0,0.9612617,-0.27563736,0.2425,0.13159123,0.1861,0.0542,0.0837,0.1179,0.37013364,0.1496,0.1856,0.2057,0.2145,0.2238,0.07089366,1.302363,399.0,1.1300093,2.1712706,0.07089366,-0.061269145,0.19871451,0.2906137,1.8177966,1.1519871,1.4069213,2.8937948,1.1300093,0.76710635,2.0550847,1.0,-18.013912,-10.554633,7.459278,21.604482583074493,76.04238880071749,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,21.604482583074493]}"
7,353.0,0.99254614,-0.12186934,0.2673,0.14980106,0.19765,0.05835,0.08675,0.1179,0.33787233,0.1501,0.1859,0.20465,0.2132,0.2239,0.037848365,1.3517067,440.0,1.2531645,2.0171087,0.037848365,-0.11259105,0.1973262,0.28782845,1.8067796,1.0781289,1.357513,3.0777202,1.2531645,0.7391548,2.2652543,1.0,-16.267443,-9.738402,6.5290394,21.604482583074493,76.13222032912944,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,21.604482583074493]}"
8,44.0,0.7193398,0.6946584,0.25305,0.10671332,0.20425,0.0706,0.1015,0.14275,0.3381767,0.1695,0.1912,0.2057,0.2054,0.2145,0.0028072745,1.2383167,388.0,1.2313869,2.0190947,0.0028072745,-0.10393718,0.1171875,0.17995118,1.4378719,1.0051383,1.4050196,2.4906497,1.2313869,0.80683386,1.7714386,0.0,-20.23448,-11.381572,8.852908,21.604482583074493,76.2220518575414,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,21.604482583074493]}"
9,318.0,0.7431448,-0.6691306,0.2119,0.14139509,0.1594,0.0573,0.0802,0.1007,0.27468354,0.1338,0.1863,0.2049,0.2114,0.2266,0.14023733,1.3285266,339.0,1.0018913,1.7543554,0.14023733,-0.0011811954,0.25749168,0.354694,2.0972223,1.3253919,1.2540473,2.6388543,1.0018913,0.7518868,2.1021826,0.0,-20.222515,-11.713639,8.508875,21.604482583074493,76.5813779711892,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,21.604482583074493]}"
