system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
5785,68.0,0.37460658,0.92718387,0.2713,0.11279737,0.2163,0.23215,0.2493,0.282,0.09695614,0.2957,0.3039,0.31595,0.32845,0.3331,0.20587425,1.2536968,5016.0,0.8257495,1.2142088,0.20587425,0.09528971,0.059478372,0.07609141,1.1643034,1.5177912,1.1307137,1.0878108,0.8257495,0.79697865,0.9617157,1.0,-17.068089,-9.603938,7.4641504,30.497803895857754,92.48155850010474,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.48155850010474,30.497803895857754]}"
5786,293.0,0.39073113,-0.92050487,0.12465,-0.023119122,0.13055,0.769,0.76665,0.7801,0.007165451,0.7872,0.7804,0.7696,0.77285,0.7513,0.7109807,0.95407575,5168.0,0.16126528,1.0143024,0.7109807,0.7222284,-0.023334417,-0.0046685343,0.99057937,5.915423,1.0174111,0.16256928,0.16126528,1.0464929,0.15976673,0.0,-14.441505,-6.2480736,8.193432,30.497803895857754,92.57139002851669,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.57139002851669,30.497803895857754]}"
5787,348.0,0.9781476,-0.20791169,0.1449,0.014350718,0.1408,0.82845,0.83335,0.84855,0.0119856885,0.85555,0.84675,0.839,0.8298,0.8132,0.70987016,1.028389,5220.0,0.17459935,1.0241386,0.70987016,0.7026777,-0.025378278,-0.011171686,0.97778827,5.889283,1.0181174,0.17385566,0.17459935,0.97103447,0.17074177,1.0,-11.0020485,-1.7269205,9.275128,30.497803895857754,92.75105308534059,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.75105308534059,30.497803895857754]}"
5788,29.0,0.8746197,0.4848096,0.17415,0.02713064,0.16495,0.81285,0.8139,0.81335,3.0746526E-4,0.82255,0.80755,0.7881,0.7775,0.76875,0.6499549,1.0551348,5212.0,0.22395833,1.000492,0.6499549,0.6340041,-0.033808835,-0.022535123,0.95580554,4.710694,0.9992015,0.2139435,0.22395833,0.9466284,0.21408814,1.0,-11.925228,-2.7488031,9.176426,30.497803895857754,92.84088461375255,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.84088461375255,30.497803895857754]}"
5789,73.0,0.2923717,0.9563047,0.0919,-0.010764263,0.0939,0.6749,0.6919,0.7139,0.028081797,0.7198,0.7146,0.7037,0.6883,0.6728,0.75990796,0.9776596,5169.0,0.13349797,1.0576296,0.75990796,0.7644194,-0.03374982,-0.018257024,0.9640056,7.3223405,1.0316474,0.13280347,0.13349797,1.0206522,0.12871149,1.0,-12.603168,-3.9998767,8.603291,30.497803895857754,93.1103791989884,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.1103791989884,30.497803895857754]}"
5790,327.0,0.83867055,-0.54463905,0.099,-0.01,0.101,0.8042,0.8232,0.848,0.026510108,0.8552,0.8492,0.8348,0.8164,0.7953,0.7798125,0.9792285,5112.0,0.121249236,1.054333,0.7798125,0.7837011,-0.03629203,-0.018985821,0.96262234,8.075173,1.0300012,0.12024778,0.121249236,1.0191725,0.11673152,1.0,-12.913806,-4.735067,8.17874,30.497803895857754,93.20021072740035,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.20021072740035,30.497803895857754]}"
5791,69.0,0.35836795,0.9335804,0.0673,-0.018950438,0.0699,0.5216,0.5202,0.5164,-0.005009634,0.5138,0.5078,0.5046,0.4907,0.4832,0.75062436,0.9614286,5264.0,0.13712306,0.9898409,0.75062436,0.7587814,-0.030692076,-0.025518816,0.9500484,7.01,0.9925043,0.12934846,0.13712306,1.037092,0.13030009,1.0,-10.506948,-2.4285042,8.0784445,30.497803895857754,93.29004225581231,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.29004225581231,30.497803895857754]}"
5792,344.0,0.9612617,-0.27563736,0.1076,-0.006922012,0.1091,0.727,0.7186,0.7383,0.0077117314,0.7474,0.7406,0.7092,0.6943,0.6909,0.7284043,0.985348,5026.0,0.15495391,1.0154036,0.7284043,0.73163736,-0.039282486,-0.030713389,0.94027627,6.3580585,1.0272715,0.14971477,0.15495391,1.012999,0.14572048,2.0,-14.128164,-6.484284,7.643881,30.497803895857754,93.37987378422426,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.37987378422426,30.497803895857754]}"
5793,320.0,0.76604444,-0.64278764,0.0883,-0.066102594,0.1008,0.6944,0.702,0.7092,0.010544315,0.7132,0.7032,0.6938,0.6873,0.6678,0.7441949,0.87512386,5368.0,0.12845504,1.0211663,0.7441949,0.7723053,-0.03287473,-0.015682062,0.96898353,6.8116946,1.0101125,0.12576556,0.12845504,1.1402715,0.124488935,2.0,-8.656361,-1.6470536,7.0093064,30.497803895857754,93.46970531263621,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.46970531263621,30.497803895857754]}"
5794,23.0,0.92050487,0.39073113,0.0753,-0.07094386,0.0868,0.75005,0.7404,0.7313,-0.012657373,0.73195,0.7177,0.70665,0.6891,0.6735,0.77625984,0.86651325,5301.0,0.10925711,0.9748717,0.77625984,0.80298275,-0.041588105,-0.02970994,0.94216573,7.9298043,0.98757595,0.10168805,0.10925711,1.1511936,0.10295324,2.0,-4.849313,0.9193953,5.768708,30.497803895857754,93.55953684104816,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.55953684104816,30.497803895857754]}"
