system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,zone_center_lat,zone_center_lon,zone_id,.geo
0,270.0,-1.8369701465288538E-16,-1.0,0.3409999907016754,0.07984165847301483,0.295199990272522,0.13989999890327454,0.17149999737739563,0.1923000067472458,0.1770235002040863,0.22310000658035278,0.2498999983072281,0.26589998602867126,0.26030001044273376,0.28459998965263367,-0.06292060762643814,1.1735389232635498,398.0,1.1342909336090088,1.4302030801773071,-0.06292060762643814,-0.14951585233211517,0.09598454087972641,0.129572793841362,1.2977222204208374,0.8816080689430237,1.2001127004623413,2.041982412338257,1.3516017198562622,0.8521233797073364,1.7054126262664795,1.0,-16.543895721435547,-10.933717727661133,5.610177516937256,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.18567171303025,10.980672146763553]}"
1,314.0,0.6946583986282349,-0.7193397879600525,0.41339999437332153,0.11980893462896347,0.33149999380111694,0.08470000326633453,0.11990000307559967,0.19550000131130219,0.3801235258579254,0.2379000037908554,0.26489999890327454,0.2863999903202057,0.2928999960422516,0.31029999256134033,-0.055865004658699036,1.2722339630126953,385.0,1.118341088294983,2.2264492511749268,-0.055865004658699036,-0.17037470638751984,0.13032352924346924,0.19745485484600067,1.4920716285705566,0.8941815495491028,1.6608022451400757,3.3129138946533203,1.4107269048690796,0.786018967628479,2.110650062561035,1.0,-20.076059341430664,-12.180456161499023,7.895603179931641,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.2399165985655,11.009777311370682]}"
2,270.0,-1.8369701465288538E-16,-1.0,0.38510000705718994,0.10681847482919693,0.3093000054359436,0.10109999775886536,0.12720000743865967,0.18250000476837158,0.2914837598800659,0.21070000529289246,0.23260000348091125,0.25760000944137573,0.26669999957084656,0.28610000014305115,-0.06826905906200409,1.2391865253448486,352.0,1.1465424299240112,1.8228003978729248,-0.06826905906200409,-0.18797196447849274,0.13416889309883118,0.16926443576812744,1.4075050354003906,0.8721874952316284,1.3840579986572266,2.924701690673828,1.462969183921814,0.8069810271263123,2.0967743396759033,0.0,-18.817033767700195,-10.852640151977539,7.964393138885498,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.17126931038216,11.051026159729753]}"
3,167.0,-0.9743700623512268,0.22495105862617493,0.1876000016927719,0.27816203236579895,0.10545000433921814,0.040950000286102295,0.06369999796152115,0.049800001084804535,0.06470658630132675,0.10734999924898148,0.19705000519752502,0.2264000028371811,0.2328999936580658,0.2512499988079071,0.38087940216064453,1.7707074880599976,853.0,0.4483524560928345,1.1383811235427856,0.38087940216064453,0.11478325724601746,0.4094351828098297,0.6375964879989624,4.522159576416016,2.230388879776001,0.7878043055534363,3.0644538402557373,0.7940711379051208,0.5647473335266113,3.8286349773406982,25.0,-12.472635269165039,-6.250089168548584,6.222545623779297,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.85879169810316,11.05155026076886]}"
4,19.0,0.9455185532569885,0.32556816935539246,0.39100000262260437,0.09855453670024872,0.31299999356269836,0.08810000121593475,0.11879999935626984,0.18440000712871552,0.34157878160476685,0.22660000622272491,0.24050000309944153,0.26179999113082886,0.2653000056743622,0.2838999927043915,-0.09002263098955154,1.2186589241027832,395.0,1.1978569030761719,2.037569284439087,-0.09002263098955154,-0.18846814334392548,0.1077091321349144,0.16828413307666779,1.4046673774719238,0.83482426404953,1.5456832647323608,3.269012451171875,1.4644750356674194,0.820574164390564,2.057100296020508,1.0,-17.031158447265625,-9.824163436889648,7.206994533538818,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.18570246456002,10.99810381441195]}"
5,82.0,0.13917310535907745,0.9902680516242981,0.17544999718666077,0.20182426273822784,0.11079999804496765,0.048700001090765,0.0693499967455864,0.06464999914169312,0.15157254040241241,0.10459999740123749,0.19300000369548798,0.22550000250339508,0.22505000233650208,0.24025000631809235,0.29250195622444153,1.5057138204574585,486.0,0.5473864078521729,1.3573026657104492,0.29250195622444153,0.10294649749994278,0.3929225504398346,0.5472396016120911,3.417351007461548,1.8268630504608154,0.9615103006362915,2.625290870666504,0.8133247494697571,0.6641368269920349,2.699115753173828,3.0,-15.138130187988281,-8.070516586303711,7.06761360168457,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.91246226468512,11.077173684573877]}"
6,314.0,0.6946583986282349,-0.7193397879600525,0.268449991941452,0.10885994881391525,0.21580000221729279,0.08955000340938568,0.1111999973654747,0.12514999508857727,0.17172321677207947,0.17010000348091125,0.23569999635219574,0.2572999894618988,0.2607499957084656,0.27764999866485596,0.0875253826379776,1.2443227767944336,474.0,0.8390378952026367,1.4146809577941895,0.0875253826379776,-0.02586374804377556,0.2263190746307373,0.3328782320022583,1.9979538917541504,1.1918424367904663,1.113595962524414,2.3657121658325195,1.0531059503555298,0.8036577105522156,2.11714243888855,1.0,-14.013494491577148,-8.312389373779297,5.701105117797852,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.91332816562816,11.057719037302492]}"
7,134.0,-0.6946583986282349,0.7193397879600525,0.358599990606308,0.12411042302846909,0.28290000557899475,0.1023000031709671,0.1324000060558319,0.17509999871253967,0.22939296066761017,0.20250000059604645,0.22439999878406525,0.24469999969005585,0.2492000013589859,0.27250000834465027,-0.051965825259685516,1.2833929061889648,422.0,1.1096285581588745,1.5953564643859863,-0.051965825259685516,-0.1727912575006485,0.13348416984081268,0.17996476590633392,1.4389195442199707,0.9012024402618408,1.2780487537384033,2.847938060760498,1.417769432067871,0.7791846394538879,2.1467158794403076,1.0,-17.318134307861328,-11.481837272644043,5.836297035217285,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.21066973293367,10.929043293509627]}"
8,214.0,-0.8290375471115112,-0.5591928958892822,0.21580000221729279,0.21278484165668488,0.14079999923706055,0.0560000017285347,0.07689999788999557,0.07599999755620956,0.11852376908063889,0.12139999866485596,0.20900000631809235,0.24969999492168427,0.25529998540878296,0.2727999985218048,0.2805314362049103,1.5406014919281006,350.0,0.5618515014648438,1.268921136856079,0.2805314362049103,0.07066468894481659,0.3723827302455902,0.5330871939659119,3.2834548950195312,1.7798296213150024,0.9788820147514343,2.7839672565460205,0.867998480796814,0.6490971446037292,2.818061113357544,2.0,-14.613998413085938,-7.660421371459961,6.953577041625977,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.17096736844907,11.160363568796075]}"
9,346.0,0.9702957272529602,-0.24192190170288086,0.28929999470710754,0.10780019313097,0.2330000102519989,0.08753636479377747,0.11010000109672546,0.13379999995231628,0.18625198304653168,0.16910000145435333,0.22184999287128448,0.2491600066423416,0.25727999210357666,0.2718999981880188,0.024908078834414482,1.2399733066558838,245.0,0.9504085779190063,1.457763671875,0.024908078834414482,-0.07378674298524857,0.2109081745147705,0.2980470061302185,1.8491936922073364,1.0500692129135132,1.1423017978668213,2.6649272441864014,1.159329891204834,0.8053796887397766,2.393162488937378,2.0,-16.900981903076172,-10.378819465637207,6.522162914276123,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.90321845274799,10.805788486091057]}"
