longitude,latitude,age,supergroup,group_name,formation,lithologic,sub_group,intrusive,stratigraphy_new
77.5106707107143,8.839369428571429,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.5733134557732,8.754213131649484,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.87797442057143,8.76253485142857,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.91467229783784,8.687855221621621,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
80.58287914363191,17.29755165659609,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
80.80996780796667,16.783333166933332,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
85.17062620073483,19.95428879715655,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
78.1559262239015,18.36266375697336,LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,,,,,,
77.46160241163423,17.040305302150294,LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,,,,,,
74.4106617723744,15.420588386352373,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,,,,,,
78.72409087845503,25.330776722659007,ARCHAEAN- PALAEOPROTEROZOIC,,,,,,,
77.85763150085307,11.719887153601896,NEOPROTEROZOIC,,,,,,,
77.82438367361446,11.460266846224899,NEOPROTEROZOIC,,,,,,,
74.04128722857372,15.261697732339744,ARCHAEAN,,,,,,,
75.68573997393939,14.196233873737373,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,,,,,,
75.78971107041009,11.4864829995363,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.04091156511082,11.763331317209909,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
76.38578024178571,10.476253106785714,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.3106451207143,9.845981288285714,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
76.65626939551167,9.872239983285457,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.39961891666667,9.830602680606061,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
76.80343606428572,9.787583594285715,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
76.53544100935159,9.60080086815562,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.17164836714286,9.693490239714286,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
76.96451735923334,8.620847332333334,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.17281118946237,8.68168087247312,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
81.70687518423313,24.336766086625765,ARCHAEAN- PALAEOPROTEROZOIC,,,,,,,
80.6222916993739,23.42686770996522,PALAEOPROTEROZOIC,,,,,,,
80.87032596520065,22.27660928454486,PALAEOPROTEROZOIC,,,,,,,
79.8960683695,20.98385969408182,ARCHAEAN,,,,,,,
81.18872740385243,19.73971252218706,ARCHAEAN,,,,,,,
79.23351604055385,20.37439791214359,ARCHAEAN,,,,,,,
80.6379280932676,20.035289358450704,ARCHAEAN,,,,,,,
83.265291038,19.592450159757895,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
81.89359792324865,17.31106884735181,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
80.01410501455517,15.832558787117437,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
76.34408386061644,15.680614042671232,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,,,,,,
74.63106212706259,14.411171615369346,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,,,,,,
76.58112748421875,14.170865440625,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,,,,,,
79.08232923934546,12.733920011490909,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
78.85969373900001,12.462703124499999,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
78.16027378655173,12.323850454568966,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.8877279970635,12.029089741111111,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,,,,,,
77.5954431021831,11.63871070330986,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.02577175932106,8.672691356977909,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
79.60113389212121,12.082149588484848,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
77.0096829552978,11.377760715485893,ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,,,,,,
75.48813975745038,25.546945064662697,ARCHAEAN,BHILWARA,,,,,,
79.16886836981284,19.178809636657753,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,,,,,,
77.14483684288813,16.296700316061642,ARCHAEAN,DHARWAR,,,,,,
76.32357739337459,15.867236648785152,ARCHAEAN,DHARWAR,,,,,,
75.72164585775609,13.408635235719512,ARCHAEAN,DHARWAR,,,,,,
75.42651290066354,11.919888708009383,ARCHAEAN- PROTEROZOIC,,,,,,,
76.02866502528846,11.890891144086538,ARCHAEAN,,,,,,,
78.14922691961539,11.737146705192307,NEOPROTEROZOIC,,,,,,,
76.78018872786618,11.204628635244122,ARCHAEAN,,,,,,,
77.72071148662499,10.479184738625,NEOPROTEROZOIC,,,,,,,
82.48068405424397,24.213637214714105,PROTEROZOIC,,,,,,,
85.47636137485048,21.818761979270604,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
84.19287726959075,21.20598870175734,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
81.79933351343874,19.790487694960476,ARCHAEAN,,,,,,,
81.96475296092828,19.54837570799578,ARCHAEAN,,,,,,,
81.39380687970873,18.82295102127427,ARCHAEAN,,,,,,,
81.02875282747634,18.886828846798107,ARCHAEAN,,,,,,,
81.80361282595513,18.78147970462705,ARCHAEAN,,,,,,,
80.8405573600618,18.68348453713697,ARCHAEAN,,,,,,,
81.64065165644143,18.519565225945943,ARCHAEAN,,,,,,,
81.09131282269232,18.254166576153846,ARCHAEAN,,,,,,,
76.56961784909598,15.142239887468708,ARCHAEAN,DHARWAR,,,,,,
79.64417241673469,15.18151616612245,ARCHAEAN,DHARWAR,,,,,,
76.18373027494792,14.242888172552084,ARCHAEAN,DHARWAR,,,,,,
76.23950137719626,14.077329801121495,ARCHAEAN,DHARWAR,,,,,,
76.6758395792328,13.895481496666667,ARCHAEAN,DHARWAR,,,,,,
78.22949109668956,12.816545656950549,ARCHAEAN,DHARWAR,,,,,,
77.84007095879464,15.989058615212054,ARCHAEAN,DHARWAR,,,,,,
85.14857796345589,22.275762448880222,PALAEOPROTEROZOIC,,,,,,,
80.86309798591154,20.184539045737264,ARCHAEAN- PALAEOPROTEROZOIC,,,,,,,
78.43821954255891,19.610223532912457,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,,,,,,
80.55247462166666,19.61069733375458,ARCHAEAN- PALAEOPROTEROZOIC,,,,,,,
81.42456446733334,19.546392604,ARCHAEAN- PALAEOPROTEROZOIC,,,,,,,
79.35210745724137,15.480055118059342,MESOPROTEROZOIC,,,,,,,
78.09476390298968,14.171912554845361,ARCHAEAN,DHARWAR,,,,,,
78.45076703271604,14.053436449259259,ARCHAEAN,DHARWAR,,,,,,
74.93968930970738,14.725492649686268,ARCHAEAN,DHARWAR,,,,,,
76.48315710445517,33.254287482551725,PALAEOPROTEROZOIC,,,,,,,
77.70679127270873,31.09612730895475,PROTEROZOIC,,,,,,,
77.12976107051684,31.08432404238841,PROTEROZOIC,,,,,,,
79.52792725226415,30.07630958352201,PROTEROZOIC,,,,,,,
80.20823929233502,29.787172625126903,PROTEROZOIC,,,,,,,
84.9797561413291,24.76367212348101,PROTEROZOIC,,,,,,,
79.845380464,35.71987024546667,PROTEROZOIC,,,,,,,
75.76548434125,35.68825139333333,PROTEROZOIC,,,,,,,
74.59686896925926,35.611620432222225,PROTEROZOIC,,,,,,,
75.99158478833675,33.3549994363347,MESOPROTEROZOIC,,,,,,,
89.59999832671618,26.76159633772277,PROTEROZOIC,,,,,,,
75.22777232959017,25.785988555245904,PALAEOPROTEROZOIC,,,,,,,
75.56341124422156,25.697865651167664,PALAEOPROTEROZOIC,BHILWARA,,,,,,
75.12764605180328,25.4893610147541,PALAEOPROTEROZOIC,BHILWARA,,,,,,
73.40801368477636,24.126705004737186,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
73.93736167044987,25.095622807490134,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
74.22269029094595,25.09122215099099,PALAEOPROTEROZOIC,BHILWARA,,,,,,
73.73927484759155,24.879142659084508,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
74.29485556677083,23.920128575671296,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
73.68801604155844,24.760313583636364,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
73.97619036969887,23.97582384455458,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
82.75659530386574,24.298433886496916,PALAEOPROTEROZOIC,,,,,,,
